slug,date,open,high,low,close,currency
EUR/BRL,15/08/2005,2.9598,2.9601,2.8786,2.8857,BRL
EUR/BRL,16/08/2005,2.8851,2.9135,2.8542,2.8963,BRL
EUR/BRL,17/08/2005,2.8975,2.9006,2.8755,2.8835,BRL
EUR/BRL,18/08/2005,2.8826,2.8911,2.8687,2.8751,BRL
EUR/BRL,19/08/2005,2.7767,2.9988,2.7767,2.9751,BRL
EUR/BRL,22/08/2005,2.9835,2.9984,2.8988,2.901,BRL
EUR/BRL,23/08/2005,2.901,2.9557,2.8924,2.9342,BRL
EUR/BRL,24/08/2005,2.9331,3.008,2.9183,3.0079,BRL
EUR/BRL,25/08/2005,3.0058,3.0193,2.9451,2.9511,BRL
EUR/BRL,26/08/2005,2.9494,2.9937,2.9375,2.9521,BRL
EUR/BRL,29/08/2005,2.9604,2.9637,2.9115,2.9155,BRL
EUR/BRL,30/08/2005,2.9157,2.9157,2.756,2.756,BRL
EUR/BRL,31/08/2005,2.9095,2.9133,2.8969,2.9047,BRL
EUR/BRL,01/09/2005,2.904,2.9198,2.7704,2.7704,BRL
EUR/BRL,02/09/2005,2.9384,2.972,2.9184,2.9184,BRL
EUR/BRL,05/09/2005,2.9204,2.9301,2.9037,2.9197,BRL
EUR/BRL,06/09/2005,2.9176,2.9218,2.8887,2.8889,BRL
EUR/BRL,07/09/2005,2.8891,2.9187,2.8871,2.8902,BRL
EUR/BRL,08/09/2005,2.8913,2.8979,2.8672,2.8728,BRL
EUR/BRL,09/09/2005,2.8735,2.8911,2.8634,2.8647,BRL
EUR/BRL,12/09/2005,2.8425,2.8579,2.8393,2.8487,BRL
EUR/BRL,13/09/2005,2.8482,2.8624,2.8433,2.8545,BRL
EUR/BRL,14/09/2005,2.8542,2.8707,2.8465,2.8465,BRL
EUR/BRL,15/09/2005,2.8482,2.8483,2.8015,2.8088,BRL
EUR/BRL,16/09/2005,2.8234,2.8276,2.7931,2.8112,BRL
EUR/BRL,19/09/2005,2.7875,2.7995,2.7734,2.7886,BRL
EUR/BRL,20/09/2005,2.7885,2.7989,2.7798,2.7804,BRL
EUR/BRL,22/09/2005,2.7911,2.8109,2.7576,2.7626,BRL
EUR/BRL,23/09/2005,2.7642,2.7642,2.7243,2.7244,BRL
EUR/BRL,26/09/2005,2.7216,2.7314,2.7102,2.7143,BRL
EUR/BRL,27/09/2005,2.7137,2.7163,2.6943,2.7139,BRL
EUR/BRL,28/09/2005,2.7138,2.7191,2.6805,2.6949,BRL
EUR/BRL,29/09/2005,2.6956,2.6963,2.6557,2.6557,BRL
EUR/BRL,30/09/2005,2.6555,2.6887,2.6555,2.6777,BRL
EUR/BRL,03/10/2005,2.6616,2.6726,2.6522,2.6522,BRL
EUR/BRL,04/10/2005,2.6533,2.6964,2.6527,2.6938,BRL
EUR/BRL,05/10/2005,2.6935,2.7213,2.6935,2.7213,BRL
EUR/BRL,06/10/2005,2.7228,2.7981,2.7198,2.7876,BRL
EUR/BRL,07/10/2005,2.7874,2.7895,2.7214,2.727,BRL
EUR/BRL,10/10/2005,2.7238,2.7308,2.6879,2.6961,BRL
EUR/BRL,11/10/2005,2.6963,2.6973,2.672,2.6745,BRL
EUR/BRL,12/10/2005,2.6747,2.7109,2.6687,2.7096,BRL
EUR/BRL,13/10/2005,2.7082,2.7249,2.6747,2.713,BRL
EUR/BRL,14/10/2005,2.7131,2.7237,2.692,2.7091,BRL
EUR/BRL,17/10/2005,2.7079,2.714,2.6799,2.6835,BRL
EUR/BRL,18/10/2005,2.6844,2.6887,2.6634,2.6782,BRL
EUR/BRL,19/10/2005,2.6757,2.7004,2.6616,2.6778,BRL
EUR/BRL,20/10/2005,2.6794,2.6948,2.6704,2.6948,BRL
EUR/BRL,21/10/2005,2.7033,2.7174,2.6936,2.7031,BRL
