slug,date,open,high,low,close,currency
EUR/AED,15/01/2015,4.322,4.326,4.2566,4.3288,AED
EUR/AED,16/01/2015,4.2672,4.2753,4.2103,4.2704,AED
EUR/AED,19/01/2015,4.2445,4.2715,4.2423,4.2445,AED
EUR/AED,20/01/2015,4.2547,4.2628,4.2481,4.2579,AED
EUR/AED,21/01/2015,4.2412,4.2817,4.2395,4.2379,AED
EUR/AED,22/01/2015,4.2581,4.2742,4.1907,4.2634,AED
EUR/AED,23/01/2015,4.1695,4.1734,4.0825,4.1649,AED
EUR/AED,26/01/2015,4.1165,4.1401,4.0333,4.1165,AED
EUR/AED,27/01/2015,4.1267,4.1919,4.1205,4.1299,AED
EUR/AED,28/01/2015,4.1694,4.1767,4.1537,4.1727,AED
EUR/AED,29/01/2015,4.1447,4.1725,4.1356,4.1416,AED
EUR/AED,30/01/2015,4.157,4.1684,4.1435,4.1602,AED
EUR/AED,02/02/2015,4.1413,4.1706,4.0929,4.1413,AED
EUR/AED,03/02/2015,4.1611,4.2015,4.1548,4.1644,AED
EUR/AED,04/02/2015,4.209,4.2158,4.1861,4.2059,AED
EUR/AED,05/02/2015,4.1565,4.2031,4.1565,4.1528,AED
EUR/AED,06/02/2015,4.2099,4.2099,4.1558,4.2099,AED
EUR/AED,09/02/2015,4.1552,4.1699,4.1393,4.1552,AED
EUR/AED,10/02/2015,4.16,4.1631,4.1381,4.1598,AED
EUR/AED,11/02/2015,4.1548,4.1585,4.1458,4.1548,AED
EUR/AED,12/02/2015,4.155,4.185,4.1515,4.1519,AED
EUR/AED,13/02/2015,4.1864,4.2,4.1796,4.1864,AED
EUR/AED,16/02/2015,4.1819,4.194,4.1819,4.1819,AED
EUR/AED,17/02/2015,4.1624,4.2,4.1589,4.1592,AED
EUR/AED,18/02/2015,4.1846,4.1879,4.1655,4.1879,AED
EUR/AED,19/02/2015,4.1853,4.2033,4.1703,4.1853,AED
EUR/AED,20/02/2015,4.1702,4.1757,4.1413,4.1733,AED
EUR/AED,23/02/2015,4.1754,4.1754,4.1465,4.1754,AED
EUR/AED,24/02/2015,4.1604,4.1607,4.1474,4.1604,AED
EUR/AED,25/02/2015,4.1579,4.1797,4.1579,4.1579,AED
EUR/AED,26/02/2015,4.1724,4.1753,4.1114,4.1692,AED
EUR/AED,27/02/2015,4.114,4.127,4.1038,4.1107,AED
EUR/AED,02/03/2015,4.1079,4.125,4.1006,4.1079,AED
EUR/AED,03/03/2015,4.1048,4.1154,4.0976,4.1048,AED
EUR/AED,04/03/2015,4.105,4.105,4.0609,4.105,AED
EUR/AED,05/03/2015,4.0672,4.0773,4.0424,4.0672,AED
EUR/AED,06/03/2015,4.0469,4.0474,3.9851,4.05,AED
EUR/AED,09/03/2015,3.9824,4.003,3.9475,3.9824,AED
EUR/AED,10/03/2015,3.9745,3.9745,3.9305,3.9776,AED
EUR/AED,11/03/2015,3.9297,3.9297,3.8764,3.9328,AED
EUR/AED,12/03/2015,3.8731,3.9204,3.8522,3.87,AED
EUR/AED,13/03/2015,3.8966,3.9015,3.8478,3.8997,AED
EUR/AED,16/03/2015,3.8507,3.8966,3.8112,3.8507,AED
EUR/AED,17/03/2015,3.8794,3.9076,3.8759,3.8827,AED
EUR/AED,18/03/2015,3.8922,3.9057,3.8851,3.8889,AED
EUR/AED,19/03/2015,3.9863,4.0047,3.8983,3.9804,AED
EUR/AED,20/03/2015,3.9154,3.9696,3.9121,3.9187,AED
EUR/AED,23/03/2015,3.9705,4.0167,3.9533,3.9705,AED
EUR/AED,24/03/2015,4.0144,4.0467,3.9998,4.0176,AED
EUR/AED,25/03/2015,4.0075,4.0399,4.0052,4.0043,AED
EUR/AED,26/03/2015,4.0273,4.0545,4.0045,4.0242,AED
EUR/AED,27/03/2015,3.9927,3.9994,3.9649,3.9958,AED
EUR/AED,30/03/2015,3.9975,3.9975,3.9175,3.9975,AED
EUR/AED,31/03/2015,3.9749,3.9782,3.9354,3.9749,AED
EUR/AED,01/04/2015,3.9427,3.962,3.9371,3.9396,AED
EUR/AED,02/04/2015,3.9521,3.9995,3.9482,3.9521,AED
EUR/AED,03/04/2015,3.9035,3.9035,3.9035,3.9955,AED
EUR/AED,06/04/2015,3.9955,3.9955,3.9035,3.9955,AED
EUR/AED,07/04/2015,3.9955,4.0149,3.9778,3.9955,AED
EUR/AED,08/04/2015,3.9734,3.994,3.9615,3.9734,AED
EUR/AED,09/04/2015,3.9565,3.96,3.919,3.9565,AED
EUR/AED,10/04/2015,3.9146,3.9216,3.8814,3.9146,AED
EUR/AED,13/04/2015,3.8933,3.8968,3.816,3.8933,AED
EUR/AED,14/04/2015,3.8829,3.9289,3.8669,3.8797,AED
EUR/AED,15/04/2015,3.9067,3.915,3.8823,3.9098,AED
EUR/AED,16/04/2015,3.9185,3.949,3.9001,3.9185,AED
EUR/AED,17/04/2015,3.9508,3.9796,3.9416,3.9477,AED
EUR/AED,20/04/2015,3.9567,3.9632,3.9339,3.968,AED
EUR/AED,21/04/2015,3.9444,3.9519,3.9141,3.9444,AED
EUR/AED,22/04/2015,3.9424,3.964,3.9321,3.9424,AED
EUR/AED,23/04/2015,3.9375,3.9701,3.9172,3.9375,AED
EUR/AED,24/04/2015,3.9707,3.9993,3.9613,3.9707,AED
EUR/AED,27/04/2015,3.9916,4.0026,3.9728,3.9916,AED
EUR/AED,28/04/2015,3.9921,4.0324,3.9881,3.9921,AED
EUR/AED,29/04/2015,4.0259,4.1021,4.0259,4.0259,AED
EUR/AED,30/04/2015,4.0794,4.1266,4.066,4.0794,AED
EUR/AED,01/05/2015,4.12,4.12,4.0411,4.12,AED
EUR/AED,04/05/2015,4.12,4.12,4.0852,4.12,AED
EUR/AED,05/05/2015,4.0922,4.1126,4.0638,4.0922,AED
EUR/AED,06/05/2015,4.1049,4.1714,4.1049,4.1049,AED
EUR/AED,07/05/2015,4.1618,4.1804,4.1275,4.1618,AED
EUR/AED,08/05/2015,4.1291,4.1383,4.106,4.1291,AED
EUR/AED,11/05/2015,4.1143,4.1143,4.0862,4.1143,AED
EUR/AED,12/05/2015,4.0902,4.139,4.09,4.0902,AED
EUR/AED,13/05/2015,4.1176,4.1766,4.1124,4.1176,AED
EUR/AED,14/05/2015,4.1655,4.2002,4.1635,4.1677,AED
EUR/AED,15/05/2015,4.1862,4.203,4.1585,4.1846,AED
EUR/AED,18/05/2015,4.2015,4.2015,4.1021,4.2015,AED
EUR/AED,19/05/2015,4.1556,4.1556,4.0836,4.1556,AED
EUR/AED,20/05/2015,4.0917,4.0917,4.0615,4.0924,AED
EUR/AED,21/05/2015,4.0753,4.1038,4.0709,4.0722,AED
EUR/AED,22/05/2015,4.0784,4.1128,4.0399,4.0784,AED
EUR/AED,25/05/2015,4.0437,4.0437,4.0232,4.0437,AED
EUR/AED,26/05/2015,4.0285,4.0285,3.9914,4.0285,AED
EUR/AED,27/05/2015,3.9967,4.0101,3.9725,3.9967,AED
EUR/AED,28/05/2015,4.0002,4.0186,3.9903,4.0002,AED
EUR/AED,29/05/2015,4.0233,4.0377,4.0132,4.0233,AED
EUR/AED,01/06/2015,4.0357,4.0357,3.9984,4.0357,AED
EUR/AED,02/06/2015,4.0093,4.101,4.0077,4.0093,AED
EUR/AED,03/06/2015,4.0913,4.1396,4.0696,4.0917,AED
EUR/AED,04/06/2015,4.1341,4.1772,4.124,4.1335,AED
EUR/AED,05/06/2015,4.1165,4.1384,4.0576,4.1133,AED
EUR/AED,08/06/2015,4.0798,4.1275,4.0515,4.0798,AED
EUR/AED,09/06/2015,4.1409,4.1638,4.1166,4.1409,AED
EUR/AED,10/06/2015,4.1446,4.1769,4.1346,4.1446,AED
EUR/AED,11/06/2015,4.1521,4.1556,4.1095,4.1521,AED
EUR/AED,12/06/2015,4.1271,4.1451,4.0939,4.1271,AED
EUR/AED,15/06/2015,4.138,4.138,4.1093,4.138,AED
